Password Strength,Motivation After Design,Hard to Remember,Guessed by Hacker,Guessed by FnF,Stronger than Usual,Password Generation,Actual Strength,design
6,5,1,2,1,3,-1.25,-3.0,Metaphor
7,1,7,1,1,4,1.75,3.0,Personal
6,6,2,3,1,6,-2.0,-1.5,Consequences
6,7,6,1,1,6,1.5,3.0,Consequences
7,7,6,1,1,7,1.75,0.0,Logos
6,5,6,5,7,6,0.5,0.0,Personal
5,6,4,4,1,6,-0.5,3.0,Professional
6,4,3,1,1,4,1.5,1.5,Personal
7,7,1,1,1,4,2.0,1.5,Professional
7,7,1,1,2,6,1.5,-3.0,Metaphor
6,7,4,1,1,4,2.25,1.5,Logos
4,4,5,3,1,1,2.5,3.0,Consequences
5,5,5,1,1,1,3.0,3.0,Personal
5,7,3,1,2,7,-1.25,1.5,Metaphor
7,7,6,3,3,7,0.0,-3.0,Professional
7,7,7,1,6,7,1.5,-1.5,Professional
1,3,1,6,2,1,-0.25,-3.0,Metaphor
7,6,7,6,7,7,-0.75,-3.0,Personal
7,7,5,2,1,6,-0.25,3.0,Personal
3,5,6,4,3,3,0.0,0.0,Metaphor
5,6,3,2,1,5,-2.0,-1.5,Personal
4,6,4,5,5,4,0.0,0.0,Professional
7,7,6,6,6,6,-0.25,-3.0,Logos
6,6,6,4,3,5,0.75,0.0,Personal
4,5,6,5,5,6,0.5,1.5,Consequences
7,6,7,6,7,6,0.0,-1.5,Professional
4,5,4,5,4,5,0.0,-1.5,Metaphor
7,7,7,1,1,7,1.0,3.0,Logos
7,7,7,1,1,7,-1.25,3.0,Professional
7,6,5,7,6,5,0.0,3.0,Metaphor
6,7,3,2,2,4,0.25,0.0,Logos
6,6,7,2,1,7,1.5,3.0,Metaphor
6,5,6,7,6,5,0.75,-1.5,Logos
7,7,4,1,1,2,2.25,0.0,Logos
2,6,3,7,5,3,1.0,-3.0,Consequences
5,5,4,5,4,5,1.5,1.5,Metaphor
7,7,7,1,1,4,3.0,3.0,Metaphor
6,1,3,2,1,1,3.0,1.5,Consequences
4,5,5,1,1,1,1.75,3.0,Logos
3,2,2,3,1,1,1.0,-3.0,Professional
5,5,3,4,4,4,0.25,0.0,Personal
7,5,5,4,4,5,-0.25,-3.0,Consequences
6,5,7,4,5,4,0.5,-3.0,Consequences
6,5,6,5,4,5,-0.5,1.5,Consequences
7,6,6,2,2,4,2.5,3.0,Professional
6,7,6,1,1,3,1.25,0.0,Logos
6,5,6,6,5,4,-0.75,0.0,Metaphor
7,7,7,1,1,7,-0.25,-1.5,Consequences
7,6,6,7,5,6,0.75,-1.5,Professional
7,6,5,6,6,5,1.25,-1.5,Logos
7,6,2,1,3,6,0.25,-3.0,Personal
4,5,1,4,3,4,-2.0,0.0,Professional
6,5,1,1,1,5,-1.75,-3.0,Logos
7,6,4,6,4,6,-0.25,3.0,Personal
5,6,5,4,6,6,-0.25,-3.0,Professional
7,6,5,3,6,5,0.0,1.5,Professional
6,6,5,6,5,6,1.0,1.5,Consequences
5,5,6,3,1,5,-1.75,1.5,Metaphor
5,6,4,2,2,5,-0.5,3.0,Logos
7,7,6,2,1,7,0.0,3.0,Professional
7,7,1,1,1,7,1.5,3.0,Consequences
6,7,5,3,3,7,-0.75,0.0,Metaphor
3,2,2,1,1,2,-1.5,0.0,Professional
6,7,5,3,1,4,0.75,3.0,Metaphor
6,5,4,5,3,5,-0.5,-3.0,Professional
6,7,3,1,1,3,2.0,1.5,Professional
6,6,1,1,2,4,2.0,-1.5,Logos
6,6,6,5,6,6,0.5,-3.0,Personal
3,4,3,4,1,2,-0.75,-1.5,Professional
7,7,4,1,2,7,1.5,-3.0,Consequences
3,4,1,5,4,2,1.0,-3.0,Personal
7,7,5,1,1,7,0.0,0.0,Personal
6,5,6,5,4,5,0.25,-3.0,Consequences
7,7,6,1,1,6,0.5,-1.5,Logos
7,6,2,1,2,6,0.0,-3.0,Metaphor
7,6,6,5,6,5,-0.25,1.5,Metaphor
7,5,2,1,3,6,1.0,-3.0,Metaphor
5,6,2,2,1,7,-2.25,-1.5,Consequences
7,6,4,2,3,7,0.5,-1.5,Logos
7,7,3,1,1,7,-0.5,1.5,Logos
7,6,4,2,2,4,0.75,3.0,Personal
5,6,7,6,5,6,-0.5,-3.0,Logos
6,6,5,6,5,6,-0.5,1.5,Metaphor
7,6,2,1,1,6,1.5,-3.0,Professional
4,6,2,3,4,6,0.0,-3.0,Consequences
2,4,3,6,4,2,0.25,-3.0,Consequences
7,7,3,1,1,4,1.75,3.0,Logos
3,6,3,2,2,2,0.5,-1.5,Professional
7,7,7,2,2,7,0.5,-3.0,Logos
4,5,4,3,3,3,0.5,1.5,Consequences
5,6,6,2,2,3,0.75,0.0,Personal
6,6,6,1,1,5,2.25,0.0,Consequences
6,7,4,2,1,2,3.0,3.0,Personal
6,7,3,1,1,6,3.0,3.0,Logos
4,6,5,2,2,6,-0.5,0.0,Professional
6,7,2,1,1,4,1.0,0.0,Personal
7,5,6,6,4,4,0.25,0.0,Consequences
6,6,5,3,1,3,0.75,3.0,Consequences
7,5,2,1,3,6,0.5,0.0,Personal
7,4,1,4,1,1,1.75,1.5,Consequences
7,7,1,1,1,7,3.0,-3.0,Personal
5,6,4,5,3,6,1.0,-3.0,Metaphor
2,4,5,4,2,4,-1.25,-1.5,Professional
6,7,3,1,1,6,-0.5,-1.5,Personal
7,6,6,4,5,5,0.25,-1.5,Metaphor
7,7,7,1,1,3,1.75,3.0,Consequences
7,7,1,7,7,7,3.0,-3.0,Metaphor
5,6,6,4,6,5,-0.25,-3.0,Personal
6,5,5,2,3,6,-0.25,0.0,Consequences
5,5,6,4,1,6,-0.75,0.0,Logos
4,5,2,5,2,1,1.0,-3.0,Personal
7,6,7,2,2,7,1.25,-1.5,Logos
7,5,2,1,2,6,1.0,-3.0,Metaphor
7,6,7,6,6,5,1.5,-3.0,Professional
7,6,7,6,6,6,0.0,-3.0,Personal
7,7,3,2,3,2,-1.25,-1.5,Metaphor
6,7,1,3,1,4,-0.25,-1.5,Professional
7,1,4,1,1,3,2.0,3.0,Metaphor
6,6,4,2,1,3,1.75,3.0,Consequences
7,5,3,1,3,7,1.5,0.0,Personal
6,5,6,6,5,5,0.0,-3.0,Metaphor
6,7,2,4,4,6,0.5,-3.0,Metaphor
6,4,2,1,2,6,0.25,-3.0,Logos
7,7,3,1,1,4,2.25,1.5,Professional
6,7,2,2,1,2,1.25,3.0,Logos
7,6,4,2,1,6,1.0,1.5,Personal
7,4,7,1,1,2,2.75,3.0,Logos
6,7,7,1,1,5,1.5,3.0,Consequences
6,6,5,2,2,3,1.5,3.0,Professional
5,6,3,3,4,2,0.75,0.0,Logos
7,6,7,6,7,6,0.0,3.0,Logos
