Perspicuity,Aesthetics,Usefulness,Clarity,design
-1.5,-2.75,0.25,-3.0,Metaphor
2.25,-2.75,0.25,2.0,Personal
3.0,0.5,2.0,2.75,Consequences
1.5,2.25,2.5,2.5,Consequences
3.0,2.5,3.0,3.0,Logos
-0.25,0.75,0.0,0.75,Personal
3.0,1.75,3.0,3.0,Professional
2.25,-0.25,-2.0,3.0,Personal
3.0,0.75,2.25,3.0,Professional
3.0,2.25,2.75,3.0,Metaphor
3.0,2.5,2.75,2.25,Logos
0.0,-0.5,0.5,0.75,Consequences
2.0,0.25,0.75,1.0,Personal
2.5,1.25,2.25,3.0,Metaphor
0.25,-0.75,1.25,0.0,Professional
2.25,2.25,2.5,2.25,Professional
-0.5,0.0,-2.0,1.25,Metaphor
2.25,2.0,2.75,2.75,Personal
1.0,1.5,1.5,1.75,Personal
1.75,2.25,2.5,2.0,Metaphor
1.5,0.25,2.75,2.25,Personal
0.75,1.0,1.0,0.25,Professional
2.0,2.0,1.75,2.0,Logos
1.25,1.25,1.0,1.75,Personal
0.75,2.0,-0.5,0.5,Consequences
0.5,1.25,-1.25,1.25,Professional
-0.25,0.0,-0.5,0.0,Metaphor
2.25,1.25,2.25,2.25,Logos
3.0,0.75,1.75,2.5,Professional
2.25,2.5,1.0,2.0,Metaphor
2.0,0.75,2.5,2.5,Logos
0.75,0.25,-1.75,-1.0,Metaphor
1.25,0.25,-0.75,0.5,Logos
2.0,1.75,2.25,2.75,Logos
1.5,0.75,1.75,1.5,Consequences
0.5,0.75,-0.25,0.75,Metaphor
1.25,2.25,3.0,3.0,Metaphor
1.5,-2.75,-3.0,-0.5,Consequences
1.75,0.75,2.25,2.75,Logos
0.5,-0.75,-0.25,0.25,Professional
0.75,0.5,1.25,1.25,Personal
0.5,0.75,-0.5,0.25,Consequences
0.0,0.5,-0.75,0.5,Consequences
2.25,2.5,2.25,1.5,Consequences
2.0,1.0,1.25,2.0,Professional
2.75,2.75,1.5,1.75,Logos
-0.75,0.25,0.0,-0.25,Metaphor
1.0,0.25,1.5,2.25,Consequences
2.5,2.0,2.0,2.0,Professional
1.75,1.25,1.5,2.25,Logos
2.0,2.0,2.0,2.5,Personal
0.5,-0.5,-0.25,1.0,Professional
3.0,3.0,3.0,3.0,Logos
-1.0,0.0,-0.25,1.0,Personal
2.0,2.25,1.5,1.75,Professional
0.5,-0.75,0.0,1.5,Professional
2.0,1.5,2.0,1.75,Consequences
3.0,0.5,0.75,2.0,Metaphor
2.25,0.5,1.0,1.75,Logos
1.25,1.75,1.5,3.0,Professional
3.0,2.75,3.0,3.0,Consequences
2.0,1.25,2.0,2.5,Metaphor
3.0,1.0,0.75,1.5,Professional
1.25,0.0,0.5,2.25,Metaphor
0.75,-0.25,-0.5,-0.25,Professional
3.0,1.75,2.5,3.0,Professional
2.75,1.75,2.75,3.0,Logos
2.0,-2.25,1.5,0.5,Personal
2.75,0.5,1.0,2.0,Professional
2.75,3.0,3.0,3.0,Consequences
1.25,-0.25,0.5,0.75,Personal
3.0,3.0,3.0,3.0,Personal
-0.5,0.25,-1.25,0.75,Consequences
2.25,1.75,2.0,2.0,Logos
1.75,1.5,1.25,1.0,Metaphor
1.75,2.0,2.25,2.0,Metaphor
2.5,2.5,2.5,2.25,Metaphor
2.75,0.0,1.0,3.0,Consequences
2.5,1.5,0.75,1.75,Logos
2.75,2.25,2.75,2.5,Logos
1.0,1.25,2.5,2.0,Personal
0.0,1.75,-0.75,1.25,Logos
1.25,2.0,2.0,2.0,Metaphor
2.0,2.0,2.0,2.75,Professional
0.25,-1.0,0.5,-0.5,Consequences
0.5,0.5,1.5,1.0,Consequences
3.0,0.5,3.0,3.0,Logos
1.5,1.25,1.25,-0.25,Professional
1.5,1.5,1.75,1.75,Logos
0.75,0.5,0.75,0.75,Consequences
0.25,1.75,1.25,1.5,Personal
3.0,1.75,2.75,3.0,Consequences
3.0,0.25,3.0,3.0,Personal
3.0,2.0,3.0,3.0,Logos
1.75,0.5,0.0,0.75,Professional
3.0,1.0,2.5,3.0,Personal
1.5,1.0,0.75,2.0,Consequences
3.0,1.0,1.75,2.0,Consequences
2.25,2.0,2.25,2.0,Personal
3.0,-0.75,-3.0,0.75,Consequences
3.0,3.0,3.0,3.0,Personal
1.75,1.0,1.0,0.75,Metaphor
2.75,0.75,2.5,1.5,Professional
2.75,1.25,2.5,2.5,Personal
-0.5,-0.75,-0.25,0.75,Metaphor
2.5,-0.25,2.75,2.5,Consequences
1.5,1.5,3.0,1.5,Metaphor
1.75,1.0,1.75,1.0,Personal
0.25,0.75,0.5,0.75,Consequences
1.25,1.5,1.0,1.25,Logos
1.75,0.5,0.75,1.5,Personal
2.25,1.25,0.25,0.75,Logos
2.25,2.75,2.25,2.5,Metaphor
2.75,3.0,2.75,2.25,Professional
2.0,2.0,2.0,2.25,Personal
3.0,3.0,3.0,3.0,Metaphor
-0.5,-0.75,-1.0,0.0,Professional
0.0,-1.25,-0.25,-2.25,Metaphor
0.25,-0.75,-1.25,-0.5,Consequences
1.5,0.5,1.25,0.75,Personal
1.0,2.0,2.25,1.75,Metaphor
0.25,1.75,1.75,2.25,Metaphor
1.5,1.25,2.0,1.0,Logos
2.25,0.75,2.0,2.0,Professional
2.75,1.0,1.5,1.25,Logos
1.0,0.0,1.25,1.0,Personal
3.0,1.0,1.75,2.25,Logos
2.0,0.5,2.25,1.0,Consequences
0.75,1.25,0.0,1.0,Professional
2.25,1.25,1.5,1.75,Logos
1.0,2.75,2.5,2.5,Logos
