"Can you explain your above ratings, like why you think one of these designs is better than other ones in <b>raising your awareness and motivation to create strong password</b>?","Please explain your ranking, like which features in a design you liked more than the other ones.","Can you explain your above ratings, like why you think one of these designs is better than other ones in <b>capturing your attention, and keeping you engaged with design</b>?","Can you explain your above ratings, like why you think one of these designs is better than other ones in <b>understanding how to create a strong password</b>?",Please rank these designs based on your <b>liking</b>. Rank 1 for the one you like the most and 3 for the one you like the least.,Design Order
nan_The second one because it showed what could happen if you have a weak password and it's also shows the steps to make a stronger one. Because I saw your computer could get robbed without a strong password.,"The third one, it is simple and quick while the second one take a lot longer._nan",The third one because I like how it's simple but it also helps me at the same time._nan,The third one because it showed both the steps on the same slide._nan,2_1_3,"['Cus', 'Sto', 'Bas']"
"Because I do not want my computer hacked and robbed.
3rd design_nan","1st:it is a random memory and no one will guess it.
","1st design it is something no one will likely know.
Number 2 is more memories for people to find.
Number 3 is said in front of the whole class.","3rd design because it shows how in different steps.
",3_1_2,"['Bas', 'Cus', 'Sto']"
nan_The second one because it showed that he didn't had a strong password and the hacker kind of took over his computer and it looked like kind of unsafe because he got all his personal information lost.,I liked the third design the most because it shows you what to do and that's kind of the same like my first design and then number 2 it showed you what can happen if you don't have a good password._nan,I think the first one because it kind of was interesting for some reason. It starts with something that's kind of cool._nan,Number 3 because it shows you steps and kind of how to do it and it gives you good idea on what to do._nan,3_1_2,"['Cus', 'Sto', 'Bas']"
The first design because it is easier to understand,nan_I like it because it has a story to go with it.It makes it easier to understand.,nan_The first design because it looks better.,nan_The first one because it had more things to look at to help me understand.,2_3_1,"['Sto', 'Bas', 'Cus']"
The second one because it motivated me because it showed me that it's not that hard to create a strong password.,nan_Second one because it's really easy for me to understand and in the first design it shows me that other people can help you if you need help.,nan_The second one because I like how it says like to think of a memory and take four words and make a password out of it. It shows you that it picked out four of the words and put that altogether.,nan_The middle one because it's easier for me understand because it shows that they picked the memory and then they showed that they picked four words and created a really good password.,3_1_2,"['Sto', 'Bas', 'Cus']"
Number 2 because it helps you think of a strong password.,nan_Because it was easy to see how they showed the design.,nan_The first one because I liked how it was more like a story.,nan_2 is helpful because it has a smart way of doing a strong password.,3_2_1,"['Sto', 'Bas', 'Cus']"
The first design was the most entertaining and fun but the second and third were the most informational and helpful.And the first design raised my awareness the most because it showed what actually happens when you don't have a secure password.,nan_I liked the first design the most because it was the most entertaining.I liked the third slide second best because it was the most informational and captivating.I liked the second design the least because it was the least detailed. ,nan_I think all the designs was engaging because first of all I like reading and the animation was good two and the design was really informational. The first design was definitely the most interesting and it captured my attention the most. ,nan_The first design was the easiest for me to understand because it showed everything that happens when you don't have a secure passcode. The third design was the one that helped improve my skills on creating a secure passcode. ,2_3_1,"['Sto', 'Bas', 'Cus']"
nan_Second design because it tells you that 80% of all hacking is because your password isn't very strong. ,"That design was my first choice because it helped me get ideas. 
The second choice it helped you take words out of the passage and help you understand how to make a strong password. _nan",I think the first one because it like gives you ideas and has like pictures and a bunch of stuff._nan,I think the first one is helping you because it gives you ideas and then the third one helps you take out words of the memorable events. So about the same for first and third design._nan,1_2_3,"['Cus', 'Sto', 'Bas']"
nan_I think it was the second one again because it showed what can happen if your computer gets hacked and it showed how you can fix it and all the steps.,I liked the second design because it kind of caught my attention because it was different than the other ones and it was real-life and it showed somebody doing the steps than telling you._nan,"I think the second one because of like how it showed it and animation and how it was like real-life, so that captured my attention._nan",I think that the first one did because it talked about how to make a better one and how you can improve one._nan,2_3_1,"['Cus', 'Sto', 'Bas']"
nan_The third one because it tells you how to make a strong password.,The third one was the best one because it didn't show only the memory but also the password._nan,The third one because it tells me that it's a strong password and no one can get into._nan,The first one because it was more easier to understand because no one else knows about my memory._nan,2_1_3,"['Cus', 'Sto', 'Bas']"
"nan_I think it was the second one because it had an actual person who had his computer hacked, so that is motivating me to make a strong password so that my computer does not get hacked.","On the third one, it kind of makes the password.
On the first one, it kind of repeats but also add more on what to do when you need to make a password.
Then on the second one it makes an actual situation, makes a real situation, so that you don't create a weak password, so that you don't get hacked._nan",I think I liked the third one and I liked it because it shows you what you could do to make a good password like pick a memory and it was very clear._nan,"Probably the first one because it tells you how to create a password, like pick a memory that you have not told anyone about and base a password on that._nan",3_1_2,"['Cus', 'Sto', 'Bas']"
