8-1,10-1,11-1,design
"['Social Media', 'Financial Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",Thinking about my info being hacked into,That if I have an insecure password my identity will be stolen. it is trying to scare me.,Metaphor
['None of the above'],"I guess the last panel, which shows how easy it would be for the rest of one's family to get hacked due to a weak password",,Personal
"['Social Media', 'Email', 'Financial Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",The possibility of it showing a threat by only slightly passing the site's minimum criteria. It would warn me to make a stronger one if I was worried about my data being breached.,,Consequences
"['Social Media', 'Email']",THE LAST PART IS REALLT MOTIVATES TO MAKE A STRONG PASSWORD BY SEEING THE NOTIFICATION,,Consequences
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","81% of data breaches in 2020 happened due to weak passwords. So, that motivates to create a strong password.",,Logos
"['Social Media', 'Email']",ALB*1988,,Personal
"['Social Media', 'Email', 'E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",Clean style with a very straight to the point message that show how damaging and inconvenience if one does not create a stronger password.,,Professional
['None of the above'],"Mainly the child asking the dad what he did, since his computer got hacked. But honestly, it's an extremely reductive and unrealistic scenario of what happens when you don't have a strong password. Nowadays most secure websites will enforce 2FA and even less sensitive websites will at least require it for a first time login from that device. In addition, it's not possible for a hacker to do something like that unless the dad is setting up the password to their wifi and the hacker manages to get on the network, or there's a vulnerability that allows the hacker to do so. And even then, the most he could send would be ransomware, viruses, miners, keyloggers, etc. ",,Personal
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",The part where it takes over the account and start spreading the virus,,Professional
"['Social Media', 'Email', 'Financial Websites', 'E-commerce Websites', 'Government Websites']",The hacker can't hack that system while creating a strong password.,The dartboard represents the difficulty level of the hacking process on the systems.,Metaphor
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",81% of data breaches in 2020 happened due to weak passwords. ,,Logos
"['Social Media', 'Email', 'Financial Websites', 'Government Websites']","The fear of my personal information (phone, location, email, photos & credit cards) being accessible to a hacker who could potentially steal my identity and/or make fraudulent purchases.",,Consequences
"['Social Media', 'Email']",I already create crazy passwords because I know what hackers can DO. I don't want to go through the hassle of getting money back if I was hacked.,,Personal
"['Social Media', 'Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",I like the part where the hacker can steal the weak password and they are all happy.,the dartboard means they were waiting for a target or a bullseye. they were working hard to find someone with a weak password and they hit the jackpot. the hackers are working hard and playing a game.,Metaphor
"['Social Media', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","The last part of the design motivated me to create a strong password.  Because this design shows , all of the computers are affected with virus. ",,Professional
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites']",third part of design make me to create strong password for all my online activities.,,Professional
['None of the above'],"just showing the hacker is a good reminder. sometimes when i sign up for a new account somewhere, i am just trying to think of a password very quickly that i can remember, and am not really concerned with security. ","it implies that a stronger password will be harder to hack. but i don't really know, because the only person on the board who didn't get hacked also had a weak password. ",Metaphor
"['Email', 'Financial Websites', 'E-commerce Websites']",working on the laptop,,Personal
