Stimulation,Trust,Real life encouragement,Example helped,Encouragement,Capable,Confident,Personal Connection,Ease to follow message,Novel,Well Organized,Engaging,Attractive,Informative,Creative,To the Point,Easy to understand,Real life motivation,Ease to follow pages,Reflection,design
2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,infographics
2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,conversation
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,reflection
1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,reflection
2.0,1.0,1.0,1.0,2.0,0.0,1.0,-1.0,0.0,-2.0,0.0,0.0,-1.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,conversation
3.0,3.0,3.0,2.0,3.0,2.0,3.0,-1.0,2.0,1.0,1.0,-3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,onlinechat
2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,onlinechat
2.0,1.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,conversation
2.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,0.0,conversation
1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,-2.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,reflection
0.0,1.0,2.0,2.0,0.0,2.0,2.0,3.0,0.0,-1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,conversation
2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,-1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,infographics
1.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,reflection
2.0,0.0,2.0,-1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,1.0,-1.0,-1.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,onlinechat
3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,conversation
1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,onlinechat
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,conversation
3.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,-2.0,1.0,1.0,0.0,0.0,onlinechat
2.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,0.0,onlinechat
0.0,-1.0,2.0,3.0,1.0,-1.0,2.0,0.0,0.0,1.0,1.0,2.0,-1.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,reflection
