gender,age,race,highest education,education field,occupation,tech experience,cyber experience,adopt based on security expert advice,design
Woman,55-59 years old,"White,Human Caucasian European ",Four-year College Degree,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,No experience,6,infographics
Man,55-59 years old,White,Four-year College Degree,"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Freelance,Self-taught,Self-taught,7,conversation
Woman,50-54 years old,White,High School Graduate,Business,Business or industry,Self-taught,Self-taught,6,reflection
Man,55-59 years old,White,High School Graduate,Construction,Business or industry,Self-taught,No experience,7,reflection
Man,30-34 years old,White,Four-year College Degree,"Medicine, Nursing, and Health Sciences",Business or industry,Self-taught,Self-taught,5,conversation
Man,Above 65 years old,White,Four-year College Degree,Other areas of Engineering,Business or industry,Hold or held a work position,Hold or held a work position,2,onlinechat
Woman,60-64 years old,White,Four-year College Degree,Business,Business or industry,Self-taught,No experience,6,onlinechat
Man,35-39 years old,White,Four-year College Degree,Business,Business or industry,Self-taught,No experience,7,conversation
Man,45-49 years old,White,Four-year College Degree,"Architecture, Design, and Arts",Business or industry,Pursuing or completed a degree,Self-taught,6,conversation
Man,40-44 years old,White,Two-year College Degree,Hospitality,Business or industry,Pursuing or completed a degree,Self-taught,6,reflection
Woman,55-59 years old,White,Graduate degree (MS/Doctorate),"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Non-profit organization,Self-taught,No experience,7,conversation
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Non-profit organization,Pursuing or completed a degree,Pursuing or completed a degree,4,infographics
Man,30-34 years old,White,High School Graduate,Other areas of Engineering,Business or industry,Self-taught,Self-taught,5,reflection
Man,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Formal training,5,onlinechat
Woman,18-24 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Self-taught,Self-taught,6,conversation
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Self-taught,7,onlinechat
Woman,25-29 years old,White,Four-year College Degree,"Journalism, Media and Communication",Business or industry,Formal training,Formal training,5,conversation
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Self-taught,6,onlinechat
Woman,40-44 years old,Black or African American,High School Graduate,"Medicine, Nursing, and Health Sciences",Business or industry,Self-taught,Self-taught,7,onlinechat
Man,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Government,Hold or held a work position,Formal training,7,reflection
