Password Strength,Motivation After Design,Hard to Remember,Guessed by Hacker,Guessed by FnF,Stronger than Usual,Helpful,Easy to think memory,Difficult for num&char,Password Generation,Actual Strength,design
2,2,2,2,2,2,2,0,2,0.0,3.0,infographics
3,3,1,2,3,3,3,3,3,1.5,3.0,conversation
2,2,3,3,3,1,1,2,3,2.25,0.0,reflection
2,2,0,2,2,1,2,2,2,0.5,1.5,reflection
1,0,3,3,3,0,-2,1,1,0.0,-3.0,conversation
1,-1,2,3,3,-1,1,1,2,2.0,3.0,onlinechat
2,3,1,2,2,2,2,2,-2,0.75,0.0,onlinechat
2,2,2,2,3,0,1,2,3,2.0,0.0,conversation
1,3,0,2,3,0,3,2,2,1.75,0.0,conversation
3,3,-3,3,3,2,3,3,3,2.0,3.0,reflection
1,2,2,2,3,0,3,3,2,-2.5,1.5,conversation
2,2,-2,1,1,0,2,1,-2,0.75,3.0,infographics
1,2,1,3,3,-1,2,3,2,1.75,3.0,reflection
0,2,-2,1,-1,1,1,0,-2,0.75,-1.5,onlinechat
3,3,-2,-3,-2,3,3,2,-3,0.0,-3.0,conversation
0,2,0,-2,-1,3,1,2,-1,0.75,-1.5,onlinechat
1,1,-1,-1,0,1,0,1,0,-0.25,-3.0,conversation
2,1,-3,-2,-2,1,2,1,-2,0.5,-1.5,onlinechat
2,3,-1,2,2,2,2,3,2,2.5,0.0,onlinechat
2,0,-2,0,-2,3,-1,2,-1,-0.5,-3.0,reflection
-1,0,1,0,0,-1,-1,0,0,1.0,-1.5,reflection
3,2,0,3,-1,2,2,2,-3,0.0,-1.5,conversation
2,2,2,3,3,0,2,3,-1,2.5,3.0,reflection
3,3,2,3,3,2,3,1,3,1.25,1.5,infographics
1,0,0,-1,1,1,1,0,1,0.0,1.5,onlinechat
2,3,-1,-2,0,1,2,1,-3,-0.25,1.5,reflection
3,3,-3,3,3,3,3,3,3,3.0,3.0,infographics
3,2,2,3,3,3,2,2,2,-0.25,0.0,reflection
3,3,3,3,3,3,3,3,3,-2.0,1.5,conversation
2,-1,0,2,3,3,2,-1,2,-2.75,0.0,reflection
3,2,0,-1,-2,2,2,1,-2,-0.5,-1.5,onlinechat
3,2,0,3,0,2,2,2,-2,0.75,-3.0,reflection
2,2,-1,2,2,0,2,2,2,0.5,1.5,conversation
3,3,0,2,3,-3,3,3,0,1.75,3.0,infographics
1,3,-2,0,-2,2,2,0,1,-0.25,0.0,conversation
2,2,-1,1,2,2,-2,-3,-1,-0.75,3.0,onlinechat
3,3,3,3,3,3,3,3,-3,1.25,-1.5,infographics
2,1,-2,-1,1,0,2,1,-1,0.5,3.0,infographics
2,1,-2,-1,-2,2,2,1,-2,0.25,-1.5,infographics
2,2,3,3,3,1,2,2,-2,-1.0,-1.5,reflection
3,2,1,-1,-2,1,2,1,-2,0.5,1.5,reflection
3,1,1,3,3,-2,1,0,-2,0.5,0.0,onlinechat
3,3,-1,3,3,3,3,2,3,1.75,3.0,onlinechat
3,3,1,3,3,3,3,3,-2,1.75,3.0,reflection
3,0,-3,3,3,-3,-2,0,1,1.5,3.0,onlinechat
2,2,3,3,3,3,2,-1,1,-1.75,1.5,conversation
3,2,-3,-2,-3,2,2,3,-2,0.0,-3.0,onlinechat
1,2,-1,-3,-2,2,2,3,0,-0.25,-3.0,reflection
2,1,-2,-1,0,1,1,2,-1,0.5,-3.0,reflection
2,2,-3,3,3,2,2,1,-3,0.0,3.0,infographics
1,1,-3,2,2,3,2,-1,-3,0.75,0.0,infographics
2,2,0,3,3,0,0,-3,0,0.5,3.0,onlinechat
3,2,2,3,3,3,3,3,2,-2.0,3.0,infographics
3,3,0,3,3,3,3,3,-2,-0.25,3.0,reflection
3,2,2,3,3,2,2,1,3,1.0,3.0,conversation
3,3,3,3,3,3,3,3,-1,-1.0,3.0,conversation
3,3,3,3,3,2,3,2,3,1.25,3.0,conversation
2,2,0,1,2,-1,2,1,2,0.0,-3.0,reflection
-3,-3,0,0,3,0,-3,-3,3,-0.75,0.0,infographics
3,3,-1,3,3,3,3,3,3,0.5,3.0,infographics
3,3,-2,-3,-3,3,3,2,-1,0.25,-1.5,onlinechat
1,2,2,2,1,2,2,3,2,0.25,1.5,infographics
2,2,2,2,2,0,2,2,-2,1.25,3.0,reflection
0,2,-1,-3,1,2,2,0,-1,0.0,-1.5,infographics
2,2,2,3,3,2,2,2,0,0.25,1.5,onlinechat
3,3,3,3,3,2,3,3,-2,1.75,-3.0,reflection
0,1,0,1,1,-1,0,0,1,-1.25,1.5,reflection
2,2,-1,2,2,-2,2,2,2,1.0,-3.0,onlinechat
3,2,-3,-2,-3,2,2,3,-2,0.75,3.0,onlinechat
2,3,-1,2,2,2,2,0,-1,0.0,-1.5,reflection
3,3,3,3,3,3,3,3,3,0.25,3.0,infographics
2,2,3,2,3,2,2,2,3,0.5,1.5,conversation
1,0,1,2,3,2,2,-3,3,1.25,1.5,infographics
2,3,2,3,3,3,3,3,-2,2.25,0.0,onlinechat
3,3,-2,3,3,3,3,3,3,2.75,3.0,reflection
3,3,1,3,3,2,2,2,-1,2.5,3.0,onlinechat
3,3,3,3,3,-1,3,3,-1,-0.5,1.5,infographics
2,2,1,2,2,0,1,2,-1,1.0,0.0,conversation
1,2,-3,2,2,3,2,3,3,0.0,3.0,infographics
2,0,-2,-1,-3,1,2,1,0,0.25,-3.0,conversation
3,3,3,3,3,1,3,-3,-1,0.5,3.0,conversation
2,1,2,3,3,3,2,3,3,-1.5,3.0,conversation
3,3,-2,-3,-2,3,3,2,-3,0.5,-1.5,onlinechat
2,2,0,-1,-2,1,1,2,0,2.25,0.0,infographics
3,3,3,3,3,3,3,3,3,-1.0,3.0,reflection
1,3,-1,1,-2,-1,2,0,-2,0.0,-1.5,infographics
2,3,-2,-1,-3,2,2,1,0,-0.25,-1.5,onlinechat
2,2,1,1,3,0,1,3,1,2.25,3.0,infographics
3,3,3,3,3,3,3,3,-3,1.0,0.0,conversation
2,3,-2,3,3,2,2,2,2,2.75,3.0,conversation
3,2,-1,-2,-1,0,0,1,0,0.5,-3.0,onlinechat
1,2,1,2,1,2,2,1,2,-1.5,3.0,infographics
1,3,-2,0,-1,2,1,3,0,-0.75,-3.0,infographics
2,1,-2,-1,-2,3,1,2,-2,-0.5,-1.5,conversation
3,2,1,2,3,2,3,2,2,-1.25,0.0,onlinechat
3,3,-3,3,3,3,3,3,3,0.0,3.0,onlinechat
3,2,-3,-1,2,3,1,2,-1,2.0,0.0,onlinechat
-2,-1,-3,1,2,-3,1,2,-3,0.0,0.0,infographics
1,2,-1,2,3,1,1,-1,-1,-1.5,3.0,conversation
2,2,-3,-3,-2,2,2,2,-2,-0.5,-1.5,reflection
0,1,0,2,3,0,1,1,1,0.25,0.0,infographics
3,2,-1,3,3,3,2,1,2,0.5,1.5,reflection
3,2,-1,2,2,1,2,3,-2,0.25,0.0,conversation
1,2,-3,3,3,-1,0,-2,-3,0.25,1.5,conversation
