9-1,11-1,design
"['Social Media', 'Email', 'Financial Websites']","I like the idea. I like the example phrase ""I was awarded a prize..."" I like how the first letters of each word are in green. I would need to think of a phrase that I could use. ",infographics
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","This is entertaining and relatable! It is an important subject matter presented in a creative, easily understandable way!",conversation
"['Social Media', 'Gaming Websites']",I think the design looks nice and it was well presented,reflection
['Social Media'],"I think the strategy if easy to follow but I think it might be hard to know where the special characters go, and there are literally dozens of websites I visit which require a password. No way to just remember all those, no matter what strategy is followed.",reflection
['None of the above'],I thought about if I would personally use this strategy to create a password or not,conversation
"['Email', 'Government Websites']",For me it is way too many steps as I already know how to generate an extremely strong password. Plus I use password software which keeps track of the passwords for me. Most people will not want to read all that.,onlinechat
['Financial Websites'],"I like it, it is simple like texting with a friend",onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",It is nice.  Simple to read and understand.  Step by step helps.  Good job overall!,conversation
"['Social Media', 'Email', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",I like it. It gave me a way to come up with a new password that I had never considered before.,conversation
"['E-commerce Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']","Its good, useful and a good way to end up making up a password.",reflection
"['Social Media', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",I think that it is clean and concise and understandable.,conversation
"['Social Media', 'Email', 'Financial Websites', 'Gaming Websites', 'E-commerce Websites']",with the help of the expert i gather raw details for the this,infographics
"['Social Media', 'Email', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","I think that it is interesting and would help people create stronger passwords which would be good for security overall. Personally for me, I usually create passwords which would be just as strong or stronger than if using this advice but I like the way in which it helps you come up with a password.",reflection
"['Financial Websites', 'Government Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.']",It is good and very strong to create online account passwords,onlinechat
"['Social Media', 'Email', 'E-commerce Websites', 'Government Websites']",good,conversation
"['Email', 'Financial Websites', 'E-commerce Websites']",This design is very nice and useful message are there.,onlinechat
"['Social Media', 'Email']",easy,conversation
"['Social Media', 'Email', 'Financial Websites']",it will identify areas for improvement and allow you to prepare professionally for the next presentation.,onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']",The presentation was useful and very helpful.,onlinechat
"['Social Media', 'Financial Websites', 'E-commerce Websites', 'Government Websites']",very nice presentation of this design,reflection
['None of the above'],I think that the presentation of this design is good.,reflection
['Social Media'],The presentation of the design is very attractive ,conversation
"['Social Media', 'Gaming Websites', 'Course Management Websites, e.g. Canvas, Blackboard, etc.', 'Content Websites, e.g. Audio/Video Streaming, Online Newspaper, etc.']","It is simple, understandable.   Probably some mention should be made that this method should be done differently for each account not reused.  Perhaps some mention about how to better memorize once you start adding special characters and numbers.",reflection
