,gender,age,race,highest education,education field,occupation,tech experience,cyber experience,design
0,Man,25-29 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Pursuing or completed a degree,Metaphor
1,Man,35-39 years old,Hispanic or Latino,High School Graduate,"Medicine, Nursing, and Health Sciences",Business or industry,Self-taught,No experience,Personal
2,Man,18-24 years old,White,Four-year College Degree,"Mathematics, and Natural Sciences (Physics, Chemistry, Biology)",Unemployed,No experience,No experience,Consequences
3,Woman,30-34 years old,White,Four-year College Degree,Other areas of Engineering,Non-profit organization,Pursuing or completed a degree,Formal training,Consequences
4,Man,35-39 years old,Native American or American Indian,Four-year College Degree,Business,Business or industry,Pursuing or completed a degree,Formal training,Logos
5,Man,30-34 years old,White,Graduate degree (MS/Doctorate),"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Pursuing or completed a degree,Personal
6,Man,30-34 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Formal training,Formal training,Professional
7,Non-Binary,25-29 years old,Asian,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,I prefer not to answer,Personal
8,Woman,45-49 years old,White,High School Graduate,N/A,Business or industry,Self-taught,Training from Work,Professional
9,Man,35-39 years old,White,Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Hold or held a work position,Formal training,Metaphor
10,Man,Above 65 years old,White,Two-year College Degree,"Journalism, Media and Communication",retired,Self-taught,Self-taught,Logos
11,Man,35-39 years old,White,Graduate degree (MS/Doctorate),"Journalism, Media and Communication",Educational institution,Hold or held a work position,Hold or held a work position,Consequences
12,Man,35-39 years old,White,Two-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Self-taught,Self-taught,Personal
13,Woman,30-34 years old,White,High School Graduate,"Economics, Humanities and Social Sciences",Business or industry,Self-taught,Self-taught,Metaphor
14,Woman,25-29 years old,"White,Hispanic or Latino",Four-year College Degree,"Computer Science/Engineering, and Information Technology (IT)",Business or industry,Pursuing or completed a degree,Hold or held a work position,Professional
