Password Strength,Motivation After Design,Hard to Remember,Guessed by Hacker,Guessed by FnF,Stronger than Usual,Password Generation,Actual Strength,design
2,1,-3,-2,-3,-1,-1.25,-3.0,Metaphor
3,-3,3,-3,-3,0,1.75,3.0,Personal
2,2,-2,-1,-3,2,-2.0,-1.5,Consequences
2,3,2,-3,-3,2,1.5,3.0,Consequences
3,3,2,-3,-3,3,1.75,0.0,Logos
2,1,2,1,3,2,0.5,0.0,Personal
1,2,0,0,-3,2,-0.5,3.0,Professional
2,0,-1,-3,-3,0,1.5,1.5,Personal
3,3,-3,-3,-3,0,2.0,1.5,Professional
3,3,-3,-3,-2,2,1.5,-3.0,Metaphor
2,3,0,-3,-3,0,2.25,1.5,Logos
0,0,1,-1,-3,-3,2.5,3.0,Consequences
1,1,1,-3,-3,-3,3.0,3.0,Personal
1,3,-1,-3,-2,3,-1.25,1.5,Metaphor
3,3,2,-1,-1,3,0.0,-3.0,Professional
3,3,3,-3,2,3,1.5,-1.5,Professional
-3,-1,-3,2,-2,-3,-0.25,-3.0,Metaphor
3,2,3,2,3,3,-0.75,-3.0,Personal
3,3,1,-2,-3,2,-0.25,3.0,Personal
-1,1,2,0,-1,-1,0.0,0.0,Metaphor
1,2,-1,-2,-3,1,-2.0,-1.5,Personal
0,2,0,1,1,0,0.0,0.0,Professional
3,3,2,2,2,2,-0.25,-3.0,Logos
2,2,2,0,-1,1,0.75,0.0,Personal
0,1,2,1,1,2,0.5,1.5,Consequences
3,2,3,2,3,2,0.0,-1.5,Professional
0,1,0,1,0,1,0.0,-1.5,Metaphor
3,3,3,-3,-3,3,1.0,3.0,Logos
3,3,3,-3,-3,3,-1.25,3.0,Professional
3,2,1,3,2,1,0.0,3.0,Metaphor
2,3,-1,-2,-2,0,0.25,0.0,Logos
2,2,3,-2,-3,3,1.5,3.0,Metaphor
2,1,2,3,2,1,0.75,-1.5,Logos
3,3,0,-3,-3,-2,2.25,0.0,Logos
-2,2,-1,3,1,-1,1.0,-3.0,Consequences
1,1,0,1,0,1,1.5,1.5,Metaphor
3,3,3,-3,-3,0,3.0,3.0,Metaphor
2,-3,-1,-2,-3,-3,3.0,1.5,Consequences
0,1,1,-3,-3,-3,1.75,3.0,Logos
-1,-2,-2,-1,-3,-3,1.0,-3.0,Professional
1,1,-1,0,0,0,0.25,0.0,Personal
3,1,1,0,0,1,-0.25,-3.0,Consequences
2,1,3,0,1,0,0.5,-3.0,Consequences
2,1,2,1,0,1,-0.5,1.5,Consequences
3,2,2,-2,-2,0,2.5,3.0,Professional
2,3,2,-3,-3,-1,1.25,0.0,Logos
2,1,2,2,1,0,-0.75,0.0,Metaphor
3,3,3,-3,-3,3,-0.25,-1.5,Consequences
3,2,2,3,1,2,0.75,-1.5,Professional
3,2,1,2,2,1,1.25,-1.5,Logos
3,2,-2,-3,-1,2,0.25,-3.0,Personal
0,1,-3,0,-1,0,-2.0,0.0,Professional
2,1,-3,-3,-3,1,-1.75,-3.0,Logos
3,2,0,2,0,2,-0.25,3.0,Personal
1,2,1,0,2,2,-0.25,-3.0,Professional
3,2,1,-1,2,1,0.0,1.5,Professional
2,2,1,2,1,2,1.0,1.5,Consequences
1,1,2,-1,-3,1,-1.75,1.5,Metaphor
1,2,0,-2,-2,1,-0.5,3.0,Logos
3,3,2,-2,-3,3,0.0,3.0,Professional
3,3,-3,-3,-3,3,1.5,3.0,Consequences
2,3,1,-1,-1,3,-0.75,0.0,Metaphor
-1,-2,-2,-3,-3,-2,-1.5,0.0,Professional
2,3,1,-1,-3,0,0.75,3.0,Metaphor
2,1,0,1,-1,1,-0.5,-3.0,Professional
2,3,-1,-3,-3,-1,2.0,1.5,Professional
2,2,-3,-3,-2,0,2.0,-1.5,Logos
2,2,2,1,2,2,0.5,-3.0,Personal
-1,0,-1,0,-3,-2,-0.75,-1.5,Professional
3,3,0,-3,-2,3,1.5,-3.0,Consequences
-1,0,-3,1,0,-2,1.0,-3.0,Personal
3,3,1,-3,-3,3,0.0,0.0,Personal
2,1,2,1,0,1,0.25,-3.0,Consequences
3,3,2,-3,-3,2,0.5,-1.5,Logos
3,2,-2,-3,-2,2,0.0,-3.0,Metaphor
3,2,2,1,2,1,-0.25,1.5,Metaphor
3,1,-2,-3,-1,2,1.0,-3.0,Metaphor
1,2,-2,-2,-3,3,-2.25,-1.5,Consequences
3,2,0,-2,-1,3,0.5,-1.5,Logos
3,3,-1,-3,-3,3,-0.5,1.5,Logos
3,2,0,-2,-2,0,0.75,3.0,Personal
1,2,3,2,1,2,-0.5,-3.0,Logos
2,2,1,2,1,2,-0.5,1.5,Metaphor
3,2,-2,-3,-3,2,1.5,-3.0,Professional
0,2,-2,-1,0,2,0.0,-3.0,Consequences
-2,0,-1,2,0,-2,0.25,-3.0,Consequences
3,3,-1,-3,-3,0,1.75,3.0,Logos
-1,2,-1,-2,-2,-2,0.5,-1.5,Professional
3,3,3,-2,-2,3,0.5,-3.0,Logos
0,1,0,-1,-1,-1,0.5,1.5,Consequences
1,2,2,-2,-2,-1,0.75,0.0,Personal
2,2,2,-3,-3,1,2.25,0.0,Consequences
2,3,0,-2,-3,-2,3.0,3.0,Personal
2,3,-1,-3,-3,2,3.0,3.0,Logos
0,2,1,-2,-2,2,-0.5,0.0,Professional
2,3,-2,-3,-3,0,1.0,0.0,Personal
3,1,2,2,0,0,0.25,0.0,Consequences
2,2,1,-1,-3,-1,0.75,3.0,Consequences
3,1,-2,-3,-1,2,0.5,0.0,Personal
3,0,-3,0,-3,-3,1.75,1.5,Consequences
3,3,-3,-3,-3,3,3.0,-3.0,Personal
1,2,0,1,-1,2,1.0,-3.0,Metaphor
-2,0,1,0,-2,0,-1.25,-1.5,Professional
2,3,-1,-3,-3,2,-0.5,-1.5,Personal
3,2,2,0,1,1,0.25,-1.5,Metaphor
3,3,3,-3,-3,-1,1.75,3.0,Consequences
3,3,-3,3,3,3,3.0,-3.0,Metaphor
1,2,2,0,2,1,-0.25,-3.0,Personal
2,1,1,-2,-1,2,-0.25,0.0,Consequences
1,1,2,0,-3,2,-0.75,0.0,Logos
0,1,-2,1,-2,-3,1.0,-3.0,Personal
3,2,3,-2,-2,3,1.25,-1.5,Logos
3,1,-2,-3,-2,2,1.0,-3.0,Metaphor
3,2,3,2,2,1,1.5,-3.0,Professional
3,2,3,2,2,2,0.0,-3.0,Personal
3,3,-1,-2,-1,-2,-1.25,-1.5,Metaphor
2,3,-3,-1,-3,0,-0.25,-1.5,Professional
3,-3,0,-3,-3,-1,2.0,3.0,Metaphor
2,2,0,-2,-3,-1,1.75,3.0,Consequences
3,1,-1,-3,-1,3,1.5,0.0,Personal
2,1,2,2,1,1,0.0,-3.0,Metaphor
2,3,-2,0,0,2,0.5,-3.0,Metaphor
2,0,-2,-3,-2,2,0.25,-3.0,Logos
3,3,-1,-3,-3,0,2.25,1.5,Professional
2,3,-2,-2,-3,-2,1.25,3.0,Logos
3,2,0,-2,-3,2,1.0,1.5,Personal
3,0,3,-3,-3,-2,2.75,3.0,Logos
2,3,3,-3,-3,1,1.5,3.0,Consequences
2,2,1,-2,-2,-1,1.5,3.0,Professional
1,2,-1,-1,0,-2,0.75,0.0,Logos
3,2,3,2,3,2,0.0,3.0,Logos
