,Perspicuity,Aesthetics,Usefulness,Clarity,design
0,-1.5,-2.75,0.25,-3.0,Metaphor
1,2.25,-2.75,0.25,2.0,Personal
2,3.0,0.5,2.0,2.75,Consequences
3,1.5,2.25,2.5,2.5,Consequences
4,3.0,2.5,3.0,3.0,Logos
5,-0.25,0.75,0.0,0.75,Personal
6,3.0,1.75,3.0,3.0,Professional
7,2.25,-0.25,-2.0,3.0,Personal
8,3.0,0.75,2.25,3.0,Professional
9,3.0,2.25,2.75,3.0,Metaphor
10,3.0,2.5,2.75,2.25,Logos
11,0.0,-0.5,0.5,0.75,Consequences
12,2.0,0.25,0.75,1.0,Personal
13,2.5,1.25,2.25,3.0,Metaphor
14,0.25,-0.75,1.25,0.0,Professional
15,2.25,2.25,2.5,2.25,Professional
16,-0.5,0.0,-2.0,1.25,Metaphor
17,2.25,2.0,2.75,2.75,Personal
18,1.0,1.5,1.5,1.75,Personal
19,1.75,2.25,2.5,2.0,Metaphor
20,1.5,0.25,2.75,2.25,Personal
21,0.75,1.0,1.0,0.25,Professional
22,2.0,2.0,1.75,2.0,Logos
23,1.25,1.25,1.0,1.75,Personal
24,0.75,2.0,-0.5,0.5,Consequences
25,0.5,1.25,-1.25,1.25,Professional
26,-0.25,0.0,-0.5,0.0,Metaphor
27,2.25,1.25,2.25,2.25,Logos
28,3.0,0.75,1.75,2.5,Professional
29,2.25,2.5,1.0,2.0,Metaphor
30,2.0,0.75,2.5,2.5,Logos
31,0.75,0.25,-1.75,-1.0,Metaphor
32,1.25,0.25,-0.75,0.5,Logos
33,2.0,1.75,2.25,2.75,Logos
34,1.5,0.75,1.75,1.5,Consequences
35,0.5,0.75,-0.25,0.75,Metaphor
36,1.25,2.25,3.0,3.0,Metaphor
37,1.5,-2.75,-3.0,-0.5,Consequences
38,1.75,0.75,2.25,2.75,Logos
39,0.5,-0.75,-0.25,0.25,Professional
40,0.75,0.5,1.25,1.25,Personal
41,0.5,0.75,-0.5,0.25,Consequences
42,0.0,0.5,-0.75,0.5,Consequences
43,2.25,2.5,2.25,1.5,Consequences
44,2.0,1.0,1.25,2.0,Professional
45,2.75,2.75,1.5,1.75,Logos
46,-0.75,0.25,0.0,-0.25,Metaphor
47,1.0,0.25,1.5,2.25,Consequences
48,2.5,2.0,2.0,2.0,Professional
49,1.75,1.25,1.5,2.25,Logos
50,2.0,2.0,2.0,2.5,Personal
51,0.5,-0.5,-0.25,1.0,Professional
52,3.0,3.0,3.0,3.0,Logos
53,-1.0,0.0,-0.25,1.0,Personal
54,2.0,2.25,1.5,1.75,Professional
55,0.5,-0.75,0.0,1.5,Professional
56,2.0,1.5,2.0,1.75,Consequences
57,3.0,0.5,0.75,2.0,Metaphor
58,2.25,0.5,1.0,1.75,Logos
59,1.25,1.75,1.5,3.0,Professional
60,3.0,2.75,3.0,3.0,Consequences
61,2.0,1.25,2.0,2.5,Metaphor
62,3.0,1.0,0.75,1.5,Professional
63,1.25,0.0,0.5,2.25,Metaphor
64,0.75,-0.25,-0.5,-0.25,Professional
65,3.0,1.75,2.5,3.0,Professional
66,2.75,1.75,2.75,3.0,Logos
67,2.0,-2.25,1.5,0.5,Personal
68,2.75,0.5,1.0,2.0,Professional
69,2.75,3.0,3.0,3.0,Consequences
70,1.25,-0.25,0.5,0.75,Personal
71,3.0,3.0,3.0,3.0,Personal
72,-0.5,0.25,-1.25,0.75,Consequences
73,2.25,1.75,2.0,2.0,Logos
74,1.75,1.5,1.25,1.0,Metaphor
75,1.75,2.0,2.25,2.0,Metaphor
76,2.5,2.5,2.5,2.25,Metaphor
77,2.75,0.0,1.0,3.0,Consequences
78,2.5,1.5,0.75,1.75,Logos
79,2.75,2.25,2.75,2.5,Logos
80,1.0,1.25,2.5,2.0,Personal
81,0.0,1.75,-0.75,1.25,Logos
82,1.25,2.0,2.0,2.0,Metaphor
83,2.0,2.0,2.0,2.75,Professional
84,0.25,-1.0,0.5,-0.5,Consequences
85,0.5,0.5,1.5,1.0,Consequences
86,3.0,0.5,3.0,3.0,Logos
87,1.5,1.25,1.25,-0.25,Professional
88,1.5,1.5,1.75,1.75,Logos
89,0.75,0.5,0.75,0.75,Consequences
90,0.25,1.75,1.25,1.5,Personal
91,3.0,1.75,2.75,3.0,Consequences
92,3.0,0.25,3.0,3.0,Personal
93,3.0,2.0,3.0,3.0,Logos
94,1.75,0.5,0.0,0.75,Professional
95,3.0,1.0,2.5,3.0,Personal
96,1.5,1.0,0.75,2.0,Consequences
97,3.0,1.0,1.75,2.0,Consequences
98,2.25,2.0,2.25,2.0,Personal
99,3.0,-0.75,-3.0,0.75,Consequences
100,3.0,3.0,3.0,3.0,Personal
101,1.75,1.0,1.0,0.75,Metaphor
102,2.75,0.75,2.5,1.5,Professional
103,2.75,1.25,2.5,2.5,Personal
104,-0.5,-0.75,-0.25,0.75,Metaphor
105,2.5,-0.25,2.75,2.5,Consequences
106,1.5,1.5,3.0,1.5,Metaphor
107,1.75,1.0,1.75,1.0,Personal
108,0.25,0.75,0.5,0.75,Consequences
109,1.25,1.5,1.0,1.25,Logos
110,1.75,0.5,0.75,1.5,Personal
111,2.25,1.25,0.25,0.75,Logos
112,2.25,2.75,2.25,2.5,Metaphor
113,2.75,3.0,2.75,2.25,Professional
114,2.0,2.0,2.0,2.25,Personal
115,3.0,3.0,3.0,3.0,Metaphor
116,-0.5,-0.75,-1.0,0.0,Professional
117,0.0,-1.25,-0.25,-2.25,Metaphor
118,0.25,-0.75,-1.25,-0.5,Consequences
119,1.5,0.5,1.25,0.75,Personal
120,1.0,2.0,2.25,1.75,Metaphor
121,0.25,1.75,1.75,2.25,Metaphor
122,1.5,1.25,2.0,1.0,Logos
123,2.25,0.75,2.0,2.0,Professional
124,2.75,1.0,1.5,1.25,Logos
125,1.0,0.0,1.25,1.0,Personal
126,3.0,1.0,1.75,2.25,Logos
127,2.0,0.5,2.25,1.0,Consequences
128,0.75,1.25,0.0,1.0,Professional
129,2.25,1.25,1.5,1.75,Logos
130,1.0,2.75,2.5,2.5,Logos
